"id","code","name","account_type","taxonomy_id","reconcile"
"chart_128","128","Recibos Pendentes","asset_current","taxonomy_snc_s_1","True"
"chart_129","129","Pagamentos Pendentes","liability_current","taxonomy_snc_s_1","True"
"chart_131","131","Outros Depósitos Bancários","asset_cash","taxonomy_snc_s_3","False"
"chart_1411","1411","Derivados - Potencialmente favorável","asset_non_current","taxonomy_snc_s_4","False"
"chart_1412","1412","Derivados - Potencialmente desfavoráveis","liability_non_current","taxonomy_snc_s_5","False"
"chart_1421","1421","Instrumentos Financeiros Detidos para Negociação - Ativos financeiros","asset_non_current","taxonomy_snc_s_6","False"
"chart_1422","1422","Instrumentos Financeiros Detidos para Negociação - Passivos financeiros","asset_non_current","taxonomy_snc_s_7","False"
"chart_1431","1431","Outros Activos Financeiros","asset_non_current","taxonomy_snc_s_8","False"
"chart_1432","1432","Outros Passivos Financeiros","asset_non_current","taxonomy_snc_s_9","False"
"chart_21111","21111","Clientes C/C - Clientes Gerais - Mercado Nacional","asset_receivable","taxonomy_snc_s_10","True"
"chart_21112","21112","Clientes C/C - Clientes Gerais - Mercado Intracomunitário","asset_receivable","taxonomy_snc_s_10","True"
"chart_21113","21113","Clientes C/C - Clientes Gerais - Mercado Extracomunitário","asset_receivable","taxonomy_snc_s_10","True"
"chart_21121","21121","Clientes C/C - Empresa Mãe - Mercado Nacional","asset_receivable","taxonomy_snc_s_11","True"
"chart_21122","21122","Clientes C/C - Empresa Mãe - Mercado Intracomunitário","asset_receivable","taxonomy_snc_s_11","True"
"chart_21123","21123","Clientes C/C - Empresa Mãe - Mercado Extracomunitário","asset_receivable","taxonomy_snc_s_11","True"
"chart_21131","21131","Clientes C/C - Empresas Subsidiárias - Mercado Nacional","asset_receivable","taxonomy_snc_s_12","True"
"chart_21132","21132","Clientes C/C - Empresas Subsidiárias - Mercado Intracomunitário","asset_receivable","taxonomy_snc_s_12","True"
"chart_21133","21133","Clientes C/C - Empresas Subsidiárias - Mercado Extracomunitário","asset_receivable","taxonomy_snc_s_12","True"
"chart_21141","21141","Clientes C/C - Empresas Associadas - Mercado Nacional","asset_receivable","taxonomy_snc_s_13","True"
"chart_21142","21142","Clientes C/C - Empresas Associadas - Mercado Intracomunitário","asset_receivable","taxonomy_snc_s_13","True"
"chart_21143","21143","Clientes C/C - Empresas Associadas - Mercado Extracomunitário","asset_receivable","taxonomy_snc_s_13","True"
"chart_21151","21151","Clientes C/C - Empreendimento Conjunto - Mercado Nacional","asset_receivable","taxonomy_snc_s_14","True"
"chart_21152","21152","Clientes C/C - Empreendimento Conjunto - Mercado Intracomunitário","asset_receivable","taxonomy_snc_s_14","True"
