"id","name","code_prefix_start","code_prefix_end"
"pt_ag_1","Meios Financeiros Líquidos","1","1"
"pt_ag_11","Caixa","11","11"
"pt_ag_12","Depósitos à Ordem","12","12"
"pt_ag_13","Outros Depósitos Bancários","13","13"
"pt_ag_14","Outros Instrumentos Financeiros","14","14"
"pt_ag_141","Derivados","141","141"
"pt_ag_142","Instrumentos financeiros detidos para negociação","142","142"
"pt_ag_143","Outros ativos e passivos financeiros","143","143"
"pt_ag_2","Contas a Receber e a Pagar","2","2"
"pt_ag_21","Clientes","21","21"
"pt_ag_211","Clientes Conta/Corrente","211","211"
"pt_ag_2111","Clientes C/C - Clientes Gerais","2111","2111"
"pt_ag_2112","Clientes C/C - Empresa Mãe","2112","2112"
"pt_ag_2113","Clientes C/C - Empresas Subsidiárias","2113","2113"
"pt_ag_2114","Clientes C/C - Empresas Associadas","2114","2114"
"pt_ag_2115","Clientes C/C - Empreendimento Conjunto","2115","2115"
"pt_ag_2116","Clientes C/C - Outras Partes Relacionadas","2116","2116"
"pt_ag_2117","Clientes C/C - POS","2117","2117"
"pt_ag_212","Clientes - Títulos a Receber","212","212"
"pt_ag_2121","Clientes TR - Clientes Gerais","2121","2121"
"pt_ag_2122","Clientes TR - Empresa Mãe","2122","2122"
"pt_ag_2123","Clientes TR - Empresas Subsidiárias","2123","2123"
"pt_ag_2124","Clientes TR - Empresas Associadas","2124","2124"
"pt_ag_2125","Clientes TR - Empreendimento Conjunto","2125","2125"
"pt_ag_2126","Clientes TR - Outras Partes Relacionadas","2126","2126"
"pt_ag_218","Clientes - Adiantamentos","218","218"
"pt_ag_219","Perdas por imparidade acumuladas","219","219"
"pt_ag_2191","Clientes c/c","2191","2191"
"pt_ag_21911","PIA - Clientes C/C - Clientes Gerais","21911","21911"
"pt_ag_21912","PIA - Clientes C/C - Empresa Mãe","21912","21912"
"pt_ag_21913","PIA - Clientes C/C - Empresas Subsidiárias","21913","21913"
"pt_ag_21914","PIA - Clientes C/C - Empresas Associadas","21914","21914"
"pt_ag_21915","PIA - Clientes C/C - Empreendimento Conjunto","21915","21915"
"pt_ag_21916","PIA - Clientes C/C - Outras Partes Relacionadas","21916","21916"
"pt_ag_2192","Clientes - títulos a receber/c","2192","2192"
"pt_ag_21921","PIA - Clientes TR - Clientes Gerais","21921","21921"
"pt_ag_21922","PIA - Clientes TR - Empresa Mãe","21922","21922"
"pt_ag_21923","PIA - Clientes TR - Empresas Subsidiárias","21923","21923"
"pt_ag_21924","PIA - Clientes TR - Empresas Associadas","21924","21924"
"pt_ag_21925","PIA - Clientes TR - Empreendimento Conjunto","21925","21925"
"pt_ag_21926","PIA - Clientes TR - Outras Partes Relacionadas","21926","21926"
"pt_ag_2193","PIA - Outros Clientes","2193","2193"
"pt_ag_22","Fornecedores","22","22"
"pt_ag_221","Fornecedores Conta/Corrente","221","221"
"pt_ag_2211","Fornecedores C/C - Fornecedores Gerais","2211","2211"
"pt_ag_2212","Fornecedores C/C - Empresa Mãe","2212","2212"
"pt_ag_2213","Fornecedores C/C - Empresas Subsidiárias","2213","2213"
"pt_ag_2214","Fornecedores C/C - Empresas Associadas","2214","2214"
"pt_ag_2215","Fornecedores C/C - Empreendimento Conjunto","2215","2215"
"pt_ag_2216","Fornecedores C/C - Outras Partes Relacionadas","2216","2216"
"pt_ag_222","Fornecedores - Títulos a Pagar","222","222"
"pt_ag_2221","Fornecedores TP - Fornecedores Gerais","2221","2221"
"pt_ag_2222","Fornecedores TP - Empresa Mãe","2222","2222"
"pt_ag_2223","Fornecedores TP - Empresas Subsidiárias","2223","2223"
"pt_ag_2224","Fornecedores TP - Empresas Associadas","2224","2224"
"pt_ag_2225","Fornecedores TP - Empreendimento Conjunto","2225","2225"
"pt_ag_2226","Fornecedores TP - Outras Partes Relacionadas","2226","2226"
"pt_ag_225","Fornecedores - Faturas em Receção e Conferência","225","225"
"pt_ag_228","Fornecedores - Adiantamentos ","228","228"
"pt_ag_229","Perdas por imparidade acumuladas","229","229"
"pt_ag_2291","PIA - Fornecedores Gerais","2291","2291"
