"id","name","description","invoice_label","sequence","amount","amount_type","type_tax_use","tax_group_id","active","tax_scope","l10n_pt_tax_code","l10n_pt_tax_type","country_region","exemption_id","description@pt","fiscal_position_ids","original_tax_ids"
"iva23bens","IVA 23% (Bens)","IVA23","IVA23","0","23","percent","sale","tax_group_iva_23","","consu","NOR","IVA","PT","","","fiscal_position_acores,fiscal_position_madeira,fiscal_position_national_customers","iva23bens"
"iva23serv","IVA 23% (Serviços)","IVA23","IVA23","1","23","percent","sale","tax_group_iva_23","","service","NOR","IVA","PT","","","",""
"iva13bens","IVA 13% (Bens)","IVA13","IVA13","2","13","percent","sale","tax_group_iva_13","","consu","INT","IVA","PT","","","fiscal_position_acores,fiscal_position_madeira,fiscal_position_national_customers","iva13bens"
"iva13serv","IVA 13% (Serviços)","IVA13","IVA13","3","13","percent","sale","tax_group_iva_13","","service","INT","IVA","PT","","","",""
"iva6bens","IVA 6% (Bens)","IVA6","IVA6","4","6","percent","sale","tax_group_iva_6","","consu","RED","IVA","PT","","","fiscal_position_acores,fiscal_position_madeira,fiscal_position_national_customers","iva6bens"
"iva6serv","IVA 6% (Serviços)","IVA6","IVA6","5","6","percent","sale","tax_group_iva_6","","service","RED","IVA","PT","","","",""
"iva23_p_bc","IVA 23% (Bens)","IVA23","IVA23","6","23","percent","purchase","tax_group_iva_23","","consu","NOR","IVA","PT","","","",""
"iva23_p_sc","IVA 23% (Serviços)","IVA23","IVA23","7","23","percent","purchase","tax_group_iva_23","","service","NOR","IVA","PT","","","fiscal_position_acores,fiscal_position_madeira","iva16_p_sc,iva22_p_sc"
"iva23_p_im","IVA 23% (Imobilizado)","IVA23","IVA23","8","23","percent","purchase","tax_group_iva_23","","","NOR","IVA","PT","","","",""
"iva13_p_bc","IVA 13% (Bens)","IVA13","IVA13","9","13","percent","purchase","tax_group_iva_13","","consu","INT","IVA","PT","","","",""
"iva13_p_sc","IVA 13% (Serviços)","IVA13","IVA13","10","13","percent","purchase","tax_group_iva_13","","service","INT","IVA","PT","","","fiscal_position_acores,fiscal_position_madeira","iva12_p_sc,iva9_p_sc"
"iva13_p_im","IVA 13% (Imobilizado)","IVA13","IVA13","11","13","percent","purchase","tax_group_iva_13","","","INT","IVA","PT","","","",""
"iva6_p_bc","IVA 6% (Bens)","IVA6","IVA6","12","6","percent","purchase","tax_group_iva_6","","consu","RED","IVA","PT","","","",""
"iva6_p_sc","IVA 6% (Serviços)","IVA6","IVA6","13","6","percent","purchase","tax_group_iva_6","","service","RED","IVA","PT","","","fiscal_position_acores,fiscal_position_madeira","iva4_p_sc,iva4_p_sc_ma"
"iva6_p_im","IVA 6% (Imobilizado)","IVA6","IVA6","14","6","percent","purchase","tax_group_iva_6","","","RED","IVA","PT","","","",""
"iva0_p","IVA 0%","IVA0","IVA0","15","0","percent","purchase","tax_group_iva_0","","","","IVA","PT","","","",""
"iva0_m01","IVA 0% Artigo 16.º n.º 6 do CIVA","IVA0 - M01","IVA0 - M01","16","0","percent","sale","tax_group_iva_0","","","ISE","IVA","PT","l10n_pt_certificate.m01","","",""
"iva0_m02","IVA 0% Artigo 6.º do Decreto-Lei n.º 198","IVA0 - M02","IVA0 - M02","17","0","percent","sale","tax_group_iva_0","","","ISE","IVA","PT","l10n_pt_certificate.m02","","",""
"iva0_m03","IVA 0% Exigibilidade de caixa","IVA0 - M03","IVA0 - M03","18","0","percent","sale","tax_group_iva_0","","","ISE","IVA","PT","l10n_pt_certificate.m03","","",""
"iva0_m04","IVA 0% Isento Artigo 13.º do CIVA","IVA0 - M04","IVA0 - M04","19","0","percent","sale","tax_group_iva_0","","","ISE","IVA","PT","l10n_pt_certificate.m04","","",""
"iva0_m05","IVA 0% Isento Artigo 14.º do CIVA","IVA0 - M05","IVA0 - M05","20","0","percent","sale","tax_group_iva_0","","","ISE","IVA","PT","l10n_pt_certificate.m05","","fiscal_position_foreign_other","iva12bens,iva12serv,iva13bens,iva16bens,iva16serv,iva22bens,iva22serv,iva23bens,iva4bens,iva4bens_ma,iva4serv,iva4serv_ma,iva6bens,iva9bens,iva9serv"
"iva0_m06","IVA 0% Isento Artigo 15.º do CIVA","IVA0 - M06","IVA0 - M06","21","0","percent","sale","tax_group_iva_0","","","ISE","IVA","PT","l10n_pt_certificate.m06","","",""
"iva0_m07","IVA 0% Isento Artigo 9.º do CIVA","IVA0 - M07","IVA0 - M07","22","0","percent","sale","tax_group_iva_0","","","ISE","IVA","PT","l10n_pt_certificate.m07","","",""
"iva0_m08","IVA 0% Autoliquidação - M08","IVA0 - M08","IVA0 - M08","23","0","percent","sale","tax_group_iva_0","False","","ISE","IVA","PT","l10n_pt_certificate.m08","","",""
"iva0_m09","IVA 0% não confere direito a dedução","IVA0 - M09","IVA0 - M09","24","0","percent","sale","tax_group_iva_0","","","ISE","IVA","PT","l10n_pt_certificate.m09","","",""
"iva0_m10","IVA 0% Regime de isenção","IVA0 - M10","IVA0 - M10","25","0","percent","sale","tax_group_iva_0","","","ISE","IVA","PT","l10n_pt_certificate.m10","","",""
"iva0_m11","IVA 0% Regime particular do tabaco","IVA0 - M11","IVA0 - M11","26","0","percent","sale","tax_group_iva_0","","","ISE","IVA","PT","l10n_pt_certificate.m11","","",""
"iva0_m12","IVA 0% Regime da margem de lucro - Agências de Viagens","IVA0 - M12","IVA0 - M12","27","0","percent","sale","tax_group_iva_0","","","ISE","IVA","PT","l10n_pt_certificate.m12","","",""
"iva0_m13","IVA 0% Regime da margem de lucro - Bens em segunda mão","IVA0 - M13","IVA0 - M13","28","0","percent","sale","tax_group_iva_0","","","ISE","IVA","PT","l10n_pt_certificate.m13","","",""
"iva0_m14","IVA 0% Regime da margem de lucro - Objetos de arte","IVA0 - M14","IVA0 - M14","29","0","percent","sale","tax_group_iva_0","","","ISE","IVA","PT","l10n_pt_certificate.m14","","",""
"iva0_m15","IVA 0% Regime da margem de lucro - Objetos de coleção e antiguidades","IVA0 - M15","IVA0 - M15","30","0","percent","sale","tax_group_iva_0","","","ISE","IVA","PT","l10n_pt_certificate.m15","","",""
