"id","country_id","name","tax_payable_account_id","tax_receivable_account_id","name@pt"
"tax_group_iva_23","base.pt","IVA 23%","chart_2436","chart_2437","IVA 23%"
"tax_group_iva_13","base.pt","IVA 13%","chart_2436","chart_2437","IVA 13%"
"tax_group_iva_6","base.pt","IVA 6%","chart_2436","chart_2437","IVA 6%"
"tax_group_iva_0","base.pt","IVA 0%","chart_2436","chart_2437","IVA 0%"
"tax_group_iva_16","base.pt","IVA 16%","chart_2436","chart_2437","IVA 16%"
"tax_group_iva_9","base.pt","IVA 9%","chart_2436","chart_2437","IVA 9%"
"tax_group_iva_4","base.pt","IVA 4%","chart_2436","chart_2437","IVA 4%"
"tax_group_iva_22","base.pt","IVA 22%","chart_2436","chart_2437","IVA 22%"
"tax_group_iva_12","base.pt","IVA 12%","chart_2436","chart_2437","IVA 12%"
"tax_group_iva_5","base.pt","IVA 5%","chart_2436","chart_2437","IVA 5%"
"tax_group_ret_0","base.pt","Withholding 0%","chart_2422","chart_2422","Retenção 0%"
"tax_group_ret_20","base.pt","Withholding 20%","chart_2422","chart_2422","Retenção 20%"
"tax_group_ret_25","base.pt","Withholding 25%","chart_2422","chart_2422","Retenção 25%"
"tax_group_ret_35","base.pt","Withholding 35%","chart_2422","chart_2422","Retenção 35%"
"tax_group_ret_11_5","base.pt","Withholding 11.5%","chart_2422","chart_2422","Retenção 11.5%"
"tax_group_ret_16_5","base.pt","Withholding 16.5%","chart_2422","chart_2422","Retenção 16.5%"
"tax_group_ret_28","base.pt","Withholding 28%","chart_2422","chart_2422","Retenção 28%"
"tax_group_ret_23","base.pt","Withholding 23%","chart_2422","chart_2422","Retenção 23%"
