id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_export_dmr_wizard,access_export_dmr_wizard,model_export_dmr_wizard,base.group_user,1,1,1,1
access_export_dri_wizard,access_export_dri_wizard,model_export_dri_wizard,base.group_user,1,1,1,1
access_export_income_wizard,access_export_income_wizard,model_export_income_wizard,base.group_user,1,1,1,1
access_export_deductions_wizard,access_export_deductions_wizard,model_export_deductions_wizard,base.group_user,1,1,1,1
access_export_insurance_map_wizard,access_export_insurance_map_wizard,model_export_insurance_map_wizard,base.group_user,1,1,1,1
access_account_move_uinvoice,account.move,account.model_account_move,l10n_pt_hr_payroll.group_payroll_manager,1,1,1,1
access_ss_regime,access_ss_regime,model_ss_regime,l10n_pt_hr_payroll.group_payroll_manager,1,1,1,1
access_irs_tax_table,access_irs_tax_table,model_irs_tax_table,l10n_pt_hr_payroll.group_payroll_manager,1,0,0,0
access_irs_tax_table_line,access_irs_tax_table_line,model_irs_tax_table_line,hr_payroll.group_hr_payroll_manager,1,0,0,0
access_hr_insurance_company,access_hr_insurance_company,model_hr_insurance_company,base.group_user,1,0,0,0
access_hr_insurance_company_manager,access_hr_insurance_company_manager,model_hr_insurance_company,l10n_pt_hr_payroll.group_payroll_manager,1,1,1,1
access_hr_payroll_retroactive,access_hr_payroll_retroactive,model_hr_payroll_retroactive,l10n_pt_hr_payroll.group_payroll_manager,1,1,1,1
access_hr_payroll_retroactive_line,access_hr_payroll_retroactive_line,model_hr_payroll_retroactive_line,l10n_pt_hr_payroll.group_payroll_manager,1,1,1,1
access_hr_payslip_employees_line,access_hr_payslip_employees_line,model_hr_payslip_employees_line,base.group_user,1,1,1,1
