"id","code","name"
"model30_income_type_6","6","Prediais"
"model30_income_type_7","7","Prestações de Serviços"
"model30_income_type_8","8","Comissões"
"model30_income_type_10","10","Dividendos"
"model30_income_type_11","11","Juros ou rendimentos de aplicação de capitais"
"model30_income_type_12","12","Royalties"
"model30_income_type_13","13","Mais Valias - Resgaste de unidades de participação ou liquidação de FII e FIM e liquidação de SII e SIM"
"model30_income_type_14","14","Trabalho independente"
"model30_income_type_15","15","Trabalho dependente"
"model30_income_type_16","16","Percentagens de membros de órgãos sociais"
"model30_income_type_17","17","Rendimentos de artistas ou desportistas"
"model30_income_type_18","18","Pensões"
"model30_income_type_22","22","Remunerações públicas"
"model30_income_type_20","20","Subsídios pagos a estudantes ou estagiários"
"model30_income_type_21","21","Outros Rendimentos"
"model30_income_type_23","23","Pensões Públicas"
