"id","code","name"
"regimen_1","1","Tributação nos termos dos Códigos do IRS e/ou IRC"
"regimen_2","2","Tributação nos termos de uma convenção para evitar a dupla tributação"
"regimen_3","3","Isenção de lucros e reservas ao abrigo  do art. º 14º , nº 3 e 8 do CIRC (lucros e reservas)"
"regimen_5","5","Fundos de Investimento (Art. º 22º do EBF) - Regime em vigor até 30 de junho de 2015"
"regimen_6","6","Aplicações a Prazo (Art.º 25º do EBF)"
"regimen_7","7","Empréstimos externos e rendas de locação de equipamentos importados (Art.º28º do EBF)"
"regimen_8","8","Swaps e empréstimos de instuições financeiras não residentes (Art.º 30 do EBF)"
"regimen_9","9","Depósitos de instituições de crédito não residentes (Art.º 31º do EBF)"
"regimen_17","17","Isenção de juros e royalties ao abrigo do art. 14º , nº12 e 16, do CIRC"
"regimen_18","18","Regime Especial de Tributação dos Rendimentos de Valores Mobiliários Representativos de Dívida (D.L. nº 193/2005, de 7 de novembro)"
"regimen_19","19","Fundos de capital de risco (Art.º 23º do EBF)"
"regimen_20","20","Fundos de Investimento imobiliário em recursos florestais (Art.º 24º do EBF)"
"regimen_21","21","Rendimentos de unidades de participação em fundos de investimento imobiliário e de participações sociais em sociedades de investimento imobiliário (Art.º 22º -A, nº1, alínea c) do EBF)"
"regimen_22","22","Rendimentos de unidades de participação em fundos de investimento imobiliário e de participações sociais em sociedades de investimento imobiliário (Art.º 22º -A, nº1, alínea d) do EBF)"
"regimen_15","15","Tributação nos termos de outras normas de direito internacional aplicáveis"
"regimen_16","16","Tributação nos termos de outros regimes jurídicos de direito interno aplicáveis"
"regimen_23","23","Fundos de poupança-reforma e planos de poupança (Art.º 21º, nº 3 do EBF) e Regime público de capitalização (Art.º 17º , nº2 do EBF)"
