"id","code","name"
"statistical_class_A1010","A1010","Exportação e importação de mercadorias"
"statistical_class_A1020","A1020","Exportação e importação de eletricidade"
"statistical_class_A1030","A1030","Exportação e importação de material militar"
"statistical_class_A1040","A1040","Exportação e importação de ouro"
"statistical_class_A2010","A2010","Comércio triangular (merchanting)"
"statistical_class_A3010","A3010","Fornecimentos à navegação"
"statistical_class_A4010","A4010","Abatimentos e devoluções"
"statistical_class_A5010","A5010","Aperfeiçoamento ativo (processing) efetuado no exterior"
"statistical_class_A5020","A5020","Aperfeiçoamento ativo (processing) efetuado em Portugal"
"statistical_class_B1101","B1101","Serviços de transporte marítimo"
"statistical_class_B1110","B1110","Serviços de transporte marítimo de mercadorias"
"statistical_class_B1120","B1120","Serviços de transporte marítimo de passageiros"
"statistical_class_B1130","B1130","Contratos de afretamento de transporte marítimo com tripulação"
"statistical_class_B1140","B1140","Serviços de suporte e auxiliares de transporte marítimo"
"statistical_class_B1201","B1201","Serviços de transporte aéreo"
"statistical_class_B1211","B1211","Serviços de transporte aéreo de mercadorias - Vendas/compras diretas"
"statistical_class_B1212","B1212","Serviços de transporte aéreo de mercadorias - Vendas CASS"
"statistical_class_B1213","B1213","Serviços de transporte aéreo de mercadorias - Vendas através de agentes não incluídas no CASS"
"statistical_class_B1214","B1214","Serviços de transporte aéreo de mercadorias - Operações com outras companhias aéreas"
"statistical_class_B1221","B1221","Serviços de transporte aéreo de passageiros - Vendas/compras diretas"
"statistical_class_B1222","B1222","Serviços de transporte aéreo de passageiros - Vendas BSP"
"statistical_class_B1223","B1223","Serviços de transporte aéreo de passageiros - Vendas através de agentes não incluídas no BSP"
"statistical_class_B1224","B1224","Serviços de transporte aéreo de passageiros - Operações com outras companhias aéreas"
"statistical_class_B1230","B1230","Contratos de afretamento de transporte aéreo com tripulação"
"statistical_class_B1240","B1240","Serviços de suporte e auxiliares de transporte aéreo"
"statistical_class_B1301","B1301","Serviços de transporte ferroviário"
"statistical_class_B1310","B1310","Serviços de transporte ferroviário de mercadorias"
"statistical_class_B1320","B1320","Serviços de transporte ferroviário de passageiros"
"statistical_class_B1330","B1330","Contratos de afretamento de transporte ferroviário com operadores"
"statistical_class_B1340","B1340","Serviços de suporte e auxiliares de transporte ferroviário"
"statistical_class_B1401","B1401","Serviços de transporte rodoviário"
"statistical_class_B1410","B1410","Serviços de transporte rodoviário de mercadorias"
"statistical_class_B1420","B1420","Serviços de transporte rodoviário de passageiros"
"statistical_class_B1430","B1430","Contratos de afretamento de transporte rodoviário com operadores"
"statistical_class_B1440","B1440","Serviços de suporte e auxiliares de transporte rodoviário"
"statistical_class_B1501","B1501","Serviços de transporte fluvial"
