"id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id"
"iva23bens","100","base","invoice","dp_iva[3]",""
"","100","tax","invoice","dp_iva[4]","chart_24331"
"","100","base","refund","+dp_base[40]",""
"","100","tax","refund","dp_iva[40]","chart_24341"
"iva23serv","100","base","invoice","dp_iva[3]",""
"","100","tax","invoice","dp_iva[4]","chart_24333"
"","100","base","refund","+dp_base[40]",""
"","100","tax","refund","dp_iva[40]","chart_24341"
"iva23_p_bc","100","base","invoice","supplier_annex_base[22]",""
"","100","tax","invoice","dp_iva[22]","chart_24321"
"","100","base","refund","+dp_base[41]",""
"","100","tax","refund","dp_iva[41]","chart_24342"
"iva23_p_im","100","base","invoice","supplier_annex_base[20]",""
"","100","tax","invoice","dp_iva[20]","chart_24322"
"","100","base","refund","+dp_base[41]",""
"","100","tax","refund","dp_iva[41]","chart_24342"
"iva23_p_sc","100","base","invoice","supplier_annex_base[24]",""
"","100","tax","invoice","dp_iva[24]","chart_24323"
"","100","base","refund","+dp_base[41]",""
"","100","tax","refund","dp_iva[41]","chart_24342"
"iva23_p_s_ic","100","base","invoice","dp_iva[16] || supplier_annex_base[24]",""
"","100","tax","invoice","dp_iva[24]","chart_24323"
"","-100","tax","invoice","dp_iva[17]","chart_24333"
"","100","base","refund","+dp_base[41] || +dp_base[40]",""
"","100","tax","refund","dp_iva[41]","chart_24342"
"","-100","tax","refund","dp_iva[40]","chart_24341"
"iva23_p_bc_ic","100","base","invoice","dp_iva[12] || supplier_annex_base[22]",""
"","100","tax","invoice","dp_iva[22]","chart_24321"
"","-100","tax","invoice","dp_iva[13]","chart_24331"
"","100","base","refund","+dp_base[41] || +dp_base[40]",""
"","100","tax","refund","dp_iva[41]","chart_24342"
"","-100","tax","refund","dp_iva[40]","chart_24341"
"iva23_p_im_ic","100","base","invoice","dp_iva[12] || supplier_annex_base[20]",""
"","100","tax","invoice","dp_iva[20]","chart_24322"
"","-100","tax","invoice","dp_iva[13]","chart_24332"
"","100","base","refund","+dp_base[41] || +dp_base[40]",""
"","100","tax","refund","dp_iva[41]","chart_24342"
"","-100","tax","refund","dp_iva[40]","chart_24341"
"iva23_p_bi_i","100","base","invoice","dp_iva[18] || supplier_annex_base[22]",""
"","100","tax","invoice","dp_iva[22]","chart_24321"
"","-100","tax","invoice","dp_iva[19]","chart_24331"
"","100","base","refund","+dp_base[41] || +dp_base[40]",""
"","100","tax","refund","dp_iva[41]","chart_24342"
"","-100","tax","refund","dp_iva[40]","chart_24341"
"iva23_p_im_i_isp","100","base","invoice","dp_iva[18] || supplier_annex_base[20]",""
"","100","tax","invoice","dp_iva[20]","chart_24322"
"","-100","tax","invoice","dp_iva[19]","chart_24332"
"","100","base","refund","+dp_base[41] || +dp_base[40]",""
"","100","tax","refund","dp_iva[41]","chart_24342"
"","-100","tax","refund","dp_iva[40]","chart_24341"
"iva23_p_sp_ex_isp","100","base","invoice","dp_iva[3] || dp_iva[98] || supplier_annex_base[24]",""
"","100","tax","invoice","dp_iva[24]","chart_24323"
"","-100","tax","invoice","dp_iva[4]","chart_24333"
"","100","base","refund","+dp_base[41] || +dp_base[40]",""
"","100","tax","refund","dp_iva[41]","chart_24342"
"","-100","tax","refund","dp_iva[40]","chart_24341"
"iva13bens","100","base","invoice","dp_iva[5]",""
"","100","tax","invoice","dp_iva[6]","chart_24331"
"","100","base","refund","+dp_base[40]",""
"","100","tax","refund","dp_iva[40]","chart_24341"
"iva13serv","100","base","invoice","dp_iva[5]",""
"","100","tax","invoice","dp_iva[6]","chart_24333"
"","100","base","refund","+dp_base[40]",""
"","100","tax","refund","dp_iva[40]","chart_24341"
"iva13_p_im","100","base","invoice","supplier_annex_base[20]",""
"","100","tax","invoice","dp_iva[20]","chart_24322"
"","100","base","refund","+dp_base[41]",""
"","100","tax","refund","dp_iva[41]","chart_24342"
"iva13_p_bc","100","base","invoice","supplier_annex_base[23]",""
"","100","tax","invoice","dp_iva[23]","chart_24321"
"","100","base","refund","+dp_base[41]",""
"","100","tax","refund","dp_iva[41]","chart_24342"
"iva13_p_sc","100","base","invoice","supplier_annex_base[24]",""
"","100","tax","invoice","dp_iva[24]","chart_24323"
"","100","base","refund","+dp_base[41]",""
"","100","tax","refund","dp_iva[41]","chart_24342"
"iva13_p_bi_ic","100","base","invoice","dp_iva[12] || supplier_annex_base[23]",""
